Category,Women,Men
Work environment,71.94,28.06
Rehab Chain,71.22,28.78
Employment,70.93,29.07
Studies,70.44,29.56
Rehabilitation,68.13,31.87
Coaching,66.35,33.65
Salary counseling,62.23,37.77
Travel Agreement,37.74,62.26
Discharge,36.91,63.09
Competition,27.10,72.90
